2026-03-25 13:09:20.582943 | Signal ID: 2 | Reason: Missing timestamp
2026-03-25 13:09:20.583513 | Signal ID: 3 | Reason: Latitude out of range
2026-03-25 13:09:20.583775 | Signal ID: 4 | Reason: Invalid feature type
2026-03-26 09:22:59.113778 | 2 | None | Missing dataset_id
2026-03-26 09:22:59.114266 | 3 | 1 | Future timestamp not allowed
2026-03-26 09:22:59.114947 | 4 | 1 | Latitude out of range
2026-03-26 09:22:59.115211 | 5 | 1 | Value must be number or null
2026-03-26 09:27:33.511565 | 2 | None | Missing dataset_id
2026-03-27 11:54:24.831069 | 2 | 2 | Missing latitude
2026-03-27 12:07:21.044914 | 2 | 2 | Missing latitude
[REJECT] 2026-03-27 12:11:17.721438 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
2026-03-27 12:16:44.094630 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
2026-03-27 12:17:25.122903 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
2026-03-27 12:40:09.746913 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
2026-03-27 12:44:45.464674 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
2026-03-27 12:59:49.890822 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
2026-03-27 13:01:45.645223 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
2026-03-27 13:04:59.553498 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
2026-03-28 09:28:28.943084 | Signal ID: 2 | Dataset: 2 | Reason: Missing latitude
[REJECT] 2026-03-28 09:59:46.562962 | SignalID=3 | Dataset=1 | Reason=Invalid value: future timestamp
[REJECT] 2026-03-28 10:26:03.229173 | SignalID=3 | Dataset=1 | Reason=Invalid value: future timestamp
[REJECT] 2026-03-28 10:47:12.937251 | SignalID=3 | Dataset=1 | Reason=Invalid value: future timestamp
[REJECT] 2026-03-28 10:47:12.992158 | SignalID=3 | Dataset=1 | Reason=Invalid value: future timestamp
[REJECT] 2026-03-28 16:56:54.095455 | SignalID=3 | Dataset=1 | Reason=Invalid value: future timestamp
[REJECT] 2026-03-30 11:51:50.802863 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 11:51:50.900185 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 11:53:34.997559 | SignalID=4 | Dataset=3 | Reason=Inactive dataset
[REJECT] 2026-03-30 11:53:35.073060 | SignalID=4 | Dataset=3 | Reason=Inactive dataset
[REJECT] 2026-03-30 12:08:13.274823 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 12:08:15.207001 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 12:16:42.360988 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 12:16:46.302965 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 12:16:46.371099 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 12:24:24.166848 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 12:24:24.232614 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 12:28:37.221842 | SignalID=5 | Dataset=3 | Reason=Inactive dataset
[REJECT] 2026-03-30 15:18:32.670324 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 15:18:32.741674 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 15:19:12.254963 | SignalID=5 | Dataset=3 | Reason=Inactive dataset
[REJECT] 2026-03-30 15:19:12.331410 | SignalID=5 | Dataset=3 | Reason=Inactive dataset
[REJECT] 2026-03-30 15:46:28.332597 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 15:54:25.539030 | SignalID=4 | Dataset=3 | Reason=Dataset is inactive
[REJECT] 2026-03-30 19:50:16.443259 | SignalID=4 | Dataset=3 | Reason=Dataset is inactive
[REJECT] 2026-03-30 19:50:16.505453 | SignalID=4 | Dataset=3 | Reason=Dataset is inactive
[REJECT] 2026-03-30 20:04:31.271500 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 20:04:31.330664 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 20:12:42.588061 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-30 20:12:42.589142 | SignalID=4 | Dataset=999 | Reason=Dataset not found
[REJECT] 2026-03-31 09:02:47.338318 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-31 09:02:47.339435 | SignalID=4 | Dataset=999 | Reason=Dataset not found
[REJECT] 2026-03-31 10:49:30.466695 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-31 10:49:30.468092 | SignalID=4 | Dataset=999 | Reason=Dataset not found
[REJECT] 2026-03-31 10:55:59.474908 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-31 10:55:59.565926 | SignalID=3 | Dataset=1 | Reason=Future timestamp
[REJECT] 2026-03-31 10:59:29.896962 | SignalID=4 | Dataset=3 | Reason=Dataset is inactive
[REJECT] 2026-03-31 10:59:29.981574 | SignalID=4 | Dataset=3 | Reason=Dataset is inactive
